Match,Name,Pos,Inning,Out,Runs,Balls,Fours,Sixes,S.R,Match_ID
Ireland vs Zimbabwe,Innocent Kaia,2,2,c MR Adair b Tector,23,23,3,0,100.00,T20I # 1989
Ireland vs Zimbabwe,Craig Ervine,3,2,c Campher b MR Adair,54,43,6,0,125.58,T20I # 1989
Ireland vs Zimbabwe,Wessly Madhevere,4,2,c Balbirnie b White,2,5,0,0,40.00,T20I # 1989
Ireland vs Zimbabwe,Tony Munyonga,5,2,c Campher b White,13,13,1,0,100.00,T20I # 1989
Ireland vs Zimbabwe,Ryan Burl,6,2,not out ,30,11,3,2,272.72,T20I # 1989
Ireland vs Zimbabwe,Clive Madande,7,2, b McCarthy,5,7,1,0,71.42,T20I # 1989
Ireland vs Zimbabwe,Luke Jongwe,8,2,not out ,4,1,1,0,400.00,T20I # 1989
New Zealand vs India,Finn Allen,1,1,c Yadav b Washington Sundar,35,23,4,2,152.17,T20I # 1990
New Zealand vs India,Devon Conway,2,1,c Hooda b Arshdeep Singh,52,35,7,1,148.57,T20I # 1990
New Zealand vs India,Mark Chapman,3,1,c & b Washington Sundar,0,4,0,0,0.00,T20I # 1990
New Zealand vs India,Glenn Phillips,4,1,c Yadav b Kuldeep Yadav,17,22,1,0,77.27,T20I # 1990
New Zealand vs India,Daryl Mitchell,5,1,not out ,59,30,3,5,196.66,T20I # 1990
New Zealand vs India,Michael Bracewell,6,1,run out (†Ishan Kishan),1,2,0,0,50.00,T20I # 1990
New Zealand vs India,Mitchell Santner,7,1,c Tripathi b Shivam Mavi,7,5,1,0,140.00,T20I # 1990
New Zealand vs India,Ish Sodhi,8,1,not out ,0,0,0,0,-,T20I # 1990
New Zealand vs India,Shubman Gill,1,2,c Allen b Santner,7,6,1,0,116.66,T20I # 1990
New Zealand vs India,Ishan Kishan,2,2, b Bracewell,4,5,1,0,80.00,T20I # 1990
New Zealand vs India,Rahul Tripathi,3,2,c †Conway b Duffy,0,6,0,0,0.00,T20I # 1990
New Zealand vs India,Suryakumar Yadav,4,2,c Allen b Sodhi,47,34,6,2,138.23,T20I # 1990
New Zealand vs India,Hardik Pandya,5,2,c & b Bracewell,21,20,1,1,105.00,T20I # 1990
New Zealand vs India,Washington Sundar,6,2,c Duffy b Ferguson,50,28,5,3,178.57,T20I # 1990
New Zealand vs India,Deepak Hooda,7,2,st †Conway b Santner,10,10,0,1,100.00,T20I # 1990
New Zealand vs India,Shivam Mavi,8,2,run out (Santner),2,3,0,0,66.66,T20I # 1990
New Zealand vs India,Kuldeep Yadav,9,2,c †Conway b Ferguson,0,1,0,0,0.00,T20I # 1990
New Zealand vs India,Arshdeep Singh,10,2,not out ,0,6,0,0,0.00,T20I # 1990
New Zealand vs India,Umran Malik,11,2,not out ,4,1,1,0,400.00,T20I # 1990
New Zealand vs India,Finn Allen,1,1, b Chahal,11,10,2,0,110.00,T20I # 1991
New Zealand vs India,Devon Conway,2,1,c †Ishan Kishan b Washington Sundar,11,14,1,0,78.57,T20I # 1991
New Zealand vs India,Mark Chapman,3,1,run out (Kuldeep Yadav/†Ishan Kishan),14,21,0,0,66.66,T20I # 1991
New Zealand vs India,Glenn Phillips,4,1, b Hooda,5,10,0,0,50.00,T20I # 1991
New Zealand vs India,Daryl Mitchell,5,1, b Kuldeep Yadav,8,13,1,0,61.53,T20I # 1991
New Zealand vs India,Michael Bracewell,6,1,c Arshdeep Singh b Pandya,14,22,0,0,63.63,T20I # 1991
New Zealand vs India,Mitchell Santner,7,1,not out ,19,23,1,0,82.60,T20I # 1991
New Zealand vs India,Ish Sodhi,8,1,c Pandya b Arshdeep Singh,1,2,0,0,50.00,T20I # 1991
New Zealand vs India,Lockie Ferguson,9,1,c Washington Sundar b Arshdeep Singh,0,2,0,0,0.00,T20I # 1991
New Zealand vs India,Jacob Duffy,10,1,not out ,6,3,1,0,200.00,T20I # 1991
New Zealand vs India,Shubman Gill,1,2,c Allen b Bracewell,11,9,2,0,122.22,T20I # 1991
New Zealand vs India,Ishan Kishan,2,2,run out (Phillips/Santner),19,32,2,0,59.37,T20I # 1991
New Zealand vs India,Rahul Tripathi,3,2,c Phillips b Sodhi,13,18,1,0,72.22,T20I # 1991
New Zealand vs India,Suryakumar Yadav,4,2,not out ,26,31,1,0,83.87,T20I # 1991
New Zealand vs India,Washington Sundar,5,2,run out (Tickner),10,9,1,0,111.11,T20I # 1991
New Zealand vs India,Hardik Pandya,6,2,not out ,15,20,1,0,75.00,T20I # 1991
United Arab Emirates vs Afghanistan,Vriitya Aravind,1,1, b Azmatullah Omarzai,17,14,3,0,121.42,T20I # 1993
United Arab Emirates vs Afghanistan,Muhammad Waseem,2,1,lbw b Rashid Khan,33,35,3,1,94.28,T20I # 1993
United Arab Emirates vs Afghanistan,Chundangapoyil Rizwan,3,1,run out (Karim Janat/†Afsar Zazai),48,41,2,2,117.07,T20I # 1993
United Arab Emirates vs Afghanistan,Basil Hameed,4,1,lbw b Rashid Khan,0,1,0,0,0.00,T20I # 1993
United Arab Emirates vs Afghanistan,Rohan Mustafa,5,1,not out ,22,15,2,0,146.66,T20I # 1993
United Arab Emirates vs Afghanistan,Aayan Afzal Khan,6,1,run out (Fazalhaq Farooqi),18,13,3,0,138.46,T20I # 1993
United Arab Emirates vs Afghanistan,Zawar Farid,7,1,not out ,0,1,0,0,0.00,T20I # 1993
United Arab Emirates vs Afghanistan,Hazratullah Zazai,1,2,c Muhammad Waseem b Junaid Siddique,1,4,0,0,25.00,T20I # 1993
United Arab Emirates vs Afghanistan,Rahmanullah Gurbaz,2,2,c Basil Hameed b Junaid Siddique,10,8,0,1,125.00,T20I # 1993
United Arab Emirates vs Afghanistan,Ibrahim Zadran,3,2,c †Aravind b Zahoor Khan,8,10,1,0,80.00,T20I # 1993
United Arab Emirates vs Afghanistan,Afsar Zazai,4,2,c Rizwan b Muhammad Jawadullah,48,40,4,2,120.00,T20I # 1993
United Arab Emirates vs Afghanistan,Karim Janat,5,2,c Rohan Mustafa b Zawar Farid,53,38,2,3,139.47,T20I # 1993
United Arab Emirates vs Afghanistan,Najibullah Zadran,6,2,not out ,16,12,1,1,133.33,T20I # 1993
United Arab Emirates vs Afghanistan,Rashid Khan,7,2,not out ,3,3,0,0,100.00,T20I # 1993
Afghanistan vs United Arab Emirates,Hazratullah Zazai,1,1,lbw b Zawar Farid,27,29,2,0,93.10,T20I # 1994
Afghanistan vs United Arab Emirates,Rahmanullah Gurbaz,2,1,c Basil Hameed b Junaid Siddique,15,11,3,0,136.36,T20I # 1994
Afghanistan vs United Arab Emirates,Ibrahim Zadran,3,1,c †Aravind b Zahoor Khan,1,4,0,0,25.00,T20I # 1994
Afghanistan vs United Arab Emirates,Afsar Zazai,4,1,c †Aravind b Zawar Farid,18,24,2,0,75.00,T20I # 1994
Afghanistan vs United Arab Emirates,Najibullah Zadran,5,1,not out ,37,29,5,1,127.58,T20I # 1994
Afghanistan vs United Arab Emirates,Karim Janat,6,1,c Rohan Mustafa b Akif Raja,7,7,1,0,100.00,T20I # 1994
Afghanistan vs United Arab Emirates,Azmatullah Omarzai,7,1,c Basil Hameed b Zahoor Khan,12,9,2,0,133.33,T20I # 1994
Afghanistan vs United Arab Emirates,Rashid Khan,8,1,not out ,14,7,1,1,200.00,T20I # 1994
Afghanistan vs United Arab Emirates,Muhammad Waseem,1,2,c Rashid Khan b Karim Janat,91,50,8,7,182.00,T20I # 1994
Afghanistan vs United Arab Emirates,Vriitya Aravind,2,2,not out ,38,46,2,0,82.60,T20I # 1994
Afghanistan vs United Arab Emirates,Chundangapoyil Rizwan,3,2,not out ,9,14,1,0,64.28,T20I # 1994
United Arab Emirates vs Afghanistan,Muhammad Waseem,1,1,c Rashid Khan b Naveen-ul-Haq,75,50,8,3,150.00,T20I # 1995
United Arab Emirates vs Afghanistan,Vriitya Aravind,2,1,c Najibullah Zadran b Gulbadin Naib,59,53,7,1,111.32,T20I # 1995
United Arab Emirates vs Afghanistan,Basil Hameed,3,1,lbw b Rashid Khan,3,4,0,0,75.00,T20I # 1995
United Arab Emirates vs Afghanistan,Rohan Mustafa,4,1,lbw b Rashid Khan,0,1,0,0,0.00,T20I # 1995
United Arab Emirates vs Afghanistan,Chundangapoyil Rizwan,5,1,run out (Gulbadin Naib),3,5,0,0,60.00,T20I # 1995
United Arab Emirates vs Afghanistan,Zawar Farid,6,1, b Gulbadin Naib,0,1,0,0,0.00,T20I # 1995
